Sample Name	Acquisition Date & Time	Component Name	IS Name	Area	IS Area	Retention Time	IS Retention Time
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_serine	BAA_serine_13c15n	57973065.6727585	19674144.0388581	2.36890581024806	2.36907014604396
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_threonine	BAA_threonine_13c15n	70599856.1354829	20722399.1688367	3.41731144848257	3.41635913191819
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_tryptophan	BAA_tryptophan_13c15n	29405009.2737054	13233394.818765	7.80752894285367	7.80535316836237
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_tyrosine	BAA_tyrosine_13c15n	39324676.667882	5042723.82812475	5.94133195394311	5.93852499547851
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_valine	BAA_valine_13c15n	154900029.736305	31836536.5148346	6.43160022471166	6.42983254059434
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_methionine.sulfone	BAA_beta_alanine_d4	197912.256802907	50677125.1736265	2.82458067591064	3.1860517986628
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_methyldopa	BAA_alpha_aminobutyric.acid_d6	2960.68438237576	61698657.0113253	5.69072639668166	5.0110350974635
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_n6.n6.n6.trimethyl_lysine	BAA_beta_alanine_d4	63353.1253727997	50677125.1736265	2.20029610515761	3.1860517986628
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_ng_hydroxyarginine	BAA_arginine_13c15n	23228.6411244056	604177.838061628	2.00922992364869	2.23661726867036
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_ng_monomethylarginine	BAA_beta_alanine_d4	8694.90541647274	50677125.1736265	2.75468481760916	3.1860517986628
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_norepinephrine	BAA_alpha_aminobutyric.acid_d6	729.33564773777	61698657.0113253	4.09435705717856	5.0110350974635
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_o_acetyl_serine	BAA_alpha_aminobutyric.acid_d6	65469.339064801	61698657.0113253	4.19878185542794	5.0110350974635
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_o_phosphoethanolamine	BAA_1_methylhistidine_d3	2811863.10003107	548751.736124021	2.14552948073474	2.10526118920419
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_ornithine	BAA_ornithine_d6	29074346.215296	21692525.0789928	5.12515864430359	5.09207371495537
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_putrescine	BAA_alpha_aminobutyric.acid_d6	52294.9178677727	61698657.0113253	5.84157532710904	5.0110350974635
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_saccharopine	BAA_glycine_13c15n	9631.05413300503	43458926.7614508	2.65061123391459	2.54108286334353
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_serotonine	BAA_alpha_aminobutyric.acid_d6	744153.661783245	61698657.0113253	6.22496987960108	5.0110350974635
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_s_methylcysteine	BAA_ornithine_d6	4126568.27777295	21692525.0789928	5.04384552148944	5.09207371495537
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_taurine	BAA_asparagine_13c15n	31968498.3471502	30475414.7704558	2.31825023227792	2.05936397936099
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_3_methylhistidine	BAA_1_methylhistidine_d3	38154.5573292458	548751.736124021	2.02458110194621	2.10526118920419
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_symmetric.dimethylarginine	BAA_threonine_13c15n	16423.9072792012	20722399.1688367	3.2088235313485	3.41635913191819
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_sarcosine	BAA_threonine_13c15n	2007665.64321773	20722399.1688367	3.02861878949628	3.41635913191819
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_asparagine	BAA_asparagine_13c15n	20943452.9041228	30475414.7704558	2.06438021106856	2.05936397936099
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_leucine	BAA_leucine_13c15n	120838696.547441	119646881.218109	7.58226247925958	7.57998670906524
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_homocysteine	BAA_ornithine_d6	3192167.08521973	21692525.0789928	5.25704723699624	5.09207371495537
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_1_methylhistidine	BAA_1_methylhistidine_d3	118006.647012159	572069.729981741	2.12670101553498	2.10246415677658
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_3_methoxytyramine	BAA_2_4_hydroxy_3_methoxyphenyl_ethyl_amine_1_1_2_2_d4	16664.4761623338	31834477.3051522	6.96791198917837	6.95580628611695
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_3_methoxytyrosine	BAA_2_4_hydroxy_3_methoxyphenyl_ethyl_amine_1_1_2_2_d4	81949.1639419275	31834477.3051522	6.51544299999347	6.95580628611695
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_5_aminolevulinic.acid	BAA_threonine_13c15n	30307.182705228	21056701.1857407	3.51721880876011	3.4113317865469
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_5_hydroxy_tryptophan	BAA_tyrosine_13c15n	1398.749070885	4956214.83308754	5.6210732828874	5.93678502831743
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_asymmetric.dimethylarginine	BAA_threonine_13c15n	5283.36113156185	21056701.1857407	3.02949283149231	3.4113317865469
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_anserine	BAA_serine_13c15n	20075.1128961525	20453819.446443	2.43363882935266	2.36585381447
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_beta_alanine	BAA_beta_alanine_d4	3643355.04024567	50225346.7345356	3.20785980476716	3.17985515306538
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_citrulline	BAA_threonine_13c15n	3114201.70211392	21056701.1857407	3.0382599971945	3.4113317865469
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_cystathionine	BAA_ornithine_d6	90804.3340544955	21888702.358819	5.19646387586639	5.08874263711259
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_cysteine	BAA_tyrosine_13c15n	4533233.46853965	4956214.83308754	4.28142285384439	5.93678502831743
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_dl_3_aminoisobutyric.acid	BAA_alpha_aminobutyric.acid_d6	777339.110352798	60795637.7053922	4.32834228734286	5.00684780718508
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_epinephrine	BAA_alpha_aminobutyric.acid_d6	2572.54027845441	60795637.7053922	4.835141687688	5.00684780718508
2204BAB_0001SQC_A2	08/09/2022 18:35:42	BAA_ethanolamine	BAA_aspartic.acid_13c15n	6282549.91655289	34471018.3326608	2.58507158804438	2.75522016618216
